Index,Source,P/C,,,,Count
98,"(Photo: Salwan Georges, Detroit Free Press)",Professional - press,,,,4
99,"(Photo: Brian McCollum, Detroit Free Press)",Professional - press,,,,1
100,"(Photo: Rodin Eckenroth, Getty Images)",Professional - getty,,,,1
101,"(Photo: Matt Sayles, Matt Sayles/Invision/AP)",Professional - ap,,,,1
102,(Photo: Drew Gurian/Invision/AP),Professional - ap,,,,1
103,"(Photo: Kevin Winter, Getty Images)",Professional - getty,,,,1
104,(Photo: Blake J Discher),                              ,,,,2
105,(Photo: Fender),Professional - indystar,,,,1
106,(Photo: Kevin Warren),                              ,,,,1
107,"Kimberly P. Mitchell, Detroit Free Press",Professional - press,,,,92
108,(Photo: John Wisely/Detroit Free Press),Professional - press,,,,1
109,(Photo: (Photo: Free Press anonymous source)),Professional - press,,,,1
110,(Photo: Detroit Free Press-USA TODAY Sports),Professional - usa today sports,,,,1
111,"(Photo: Scott Cunningham, Getty Images)",Professional - getty,,,,1
112,(Photo: Mike Granse USA TODAY Sports),Professional - usa today sports,,,,2
113,"(Photo: Carlos Osorio, AP)",Professional - ap,,,,11
114,Kathy Woods Booth,                              ,,,,6
115,"(Photo: Susan Tompor, Detroit Free Press)",Professional - press,,,,3
116,"(Photo: Andy Manis, AP)",Professional - ap,,,,1
117,"(Photo: Mary Langenfeld, USA TODAY Sports)",Professional - usa today sports,,,,1
118,"ALEX BRANDON, AFP/Getty Images",Professional - getty,,,,6
119,(Photo: Mobile Ed Productions),                              ,,,,1
120,(Photo: Little Caesars),                              ,,,,1
121,"(Photo: Brace Hemmelgarn, USA TODAY Sports)",Professional - usa today sports,,,,2
122,"(Photo: Gregory Shamus, Getty Images)",Professional - getty,,,,6
123,"Paul Sancya, AP",Professional - AP,,,,20
124,"Gregory Shamus, Getty Images",Professional - getty,,,,35
125,(Photo: City of Detroit),Professional - city,,,,3
126,"Patricia Beck PATRICIA BECK, Detroit Free Press",Professional - press,,,,1
127,"Ryan Garza, Detroit Free Press",Professional - press,,,,46
128,"BILL McGRAW, Detroit Free Press",Professional - press,,,,1
129,"DIANE WEISS, Detroit Free Press",Professional - press,,,,1
