Index,Source,P/C,,,,Count
110,(City of Las Vegas),Professional - city,,,,5
111,(Screen capture/YouTube),Citizen - youtube,,,,2
112,(R. Dear/AP file),Professional - file,,,,1
113,(John Locher/AP Photo),Professional - ap,,,,1
114,(Mark Henle/The Arizona Republic via AP),Professional - ap,,,,1
115,(AP Photo/Jon Elswick),Professional - ap,,,,1
116,"(AP Photo/Susan Walsh, File)",Professional - file,,,,2
117,(Todd McInturf/Detroit News via AP),Professional - ap,,,,1
118,(Andrew Harnik/AP),Professional - ap,,,,1
119,(Thinkstock),Professional - thinkstock,,,,4
120,(Courtesy: Transportation Security Administration),                              ,,,,1
121,(AP Photo/Cliff Owen),Professional - ap,,,,1
122,(AP Photo),Professional - ap,,,,3
123,(Jevon Clark/The Animal Clinic of Kalispell via AP),Professional - ap,,,,1
124,(Mauricio Santana),Professional - getty,,,,2
125,(Aid for AIDS of Nevada),Professional - nevada,,,,1
126,"(U.S. Drug Enforcement Administration via AP, File)",Professional - file,,,,2
127,(AP Photo/File),Professional - file,,,,2
128,"(AP Photo/Lawrence Jackson, File)",Professional - file,,,,1
129,"(AP Photo/Evan Vucci, File)",Professional - file,,,,1
130,"(Dario Cantatore/Invision/AP, File)",Professional - file,,,,1
131,(Matt Slocum/AP),Professional - ap,,,,1
132,(Bebeto Matthews/AP),Professional - ap,,,,1
133,(Google),Professional - google,,,,9
134,(AP Photo/Elise Amendola),Professional - ap,,,,5
135,(Denise Truscello),Professional - mgm,,,,2
136,(Daniel Britton),                              ,,,,1
137,(AP Photo/Ben Margot),Professional - ap,,,,2
138,(Family photo/Greenwich Police Department via AP),Professional - ap,,,,2
139,(Yahoo/Inform),                              ,,,,1
140,(AP Photo/Chris O'Meara),Professional - ap,,,,11
141,(Review-Journal file photo),Professional - file,,,,1
142,(Las Vegas Metropolitan Police Department),Professional - police,,,,16
143,(Trent Nelson/The Salt Lake Tribune via AP),Professional - ap,,,,5
144,(AP Photo/Manuel Balce Ceneta),Professional - ap,,,,5
145,(David Zalubowski/AP),Professional - ap,,,,1
146,(Binions Hotel & Gambling Hall),Professional - hotel,,,,1
147,"(AP Photo/Charles Krupa, Pool, File)",Professional - file,,,,1
148,(Consumer Product Safety Commission via AP),Professional - ap,,,,1
149,(Chris Pizzello/Invision/AP file),Professional - file,,,,1
150,(Las Vegas police),Professional - police,,,,1
151,(Jason Franson/The Canadian Press via AP),Professional - ap,,,,1
152,(AP Photo/Gregory Bull),Professional - ap,,,,7
153,"(AP Photo/Marcio Jose Sanchez, File)",Professional - file,,,,1
154,(AP Photo/Susan Walsh),Professional - ap,,,,3
155,"(Doug Mills/The New York Times via AP, Pool)",Professional - ap,,,,2
156,(Inform),Professional - center,,,,3
157,(Brittney Cason Facebook),Citizen - facebook,,,,1
158,(Lee Canyon),                              ,,,,4
159,(CBS Denver/Inform),Professional - cbs,,,,1
160,Anthony Mair,                              ,,,,1
161,(Photo by Denise Truscello/Getty Images for MGM Resorts International),Professional - mgm,,,,1
162,(Courtesy: NDOT),                              ,,,,3
163,(The Calida Group),Professional - group,,,,1
164,(Howard Hughes Corp.),                              ,,,,1
165,(Herb Jaffe),                              ,,,,1
166,(The Howard Hughes Corporation),                              ,,,,1
167,(Clark County Water Reclamation District),Professional - county,,,,4
168,(Caesars Entertainment),Professional - caesars entertainment,,,,3
169,(Smith & Wollensky),                              ,,,,1
170,(WILX/Inform),                              ,,,,1
171,(Mark Humphrey/AP),Professional - ap,,,,1
172,"(AP Photo/Pablo Martinez Monsivais, File)",Professional - file,,,,1
173,(Sky News/Inform),Professional - news,,,,1
174,(Paris Fire Dept. via AP),Professional - ap,,,,5
175,(CBS Minnesota/Inform),Professional - cbs,,,,1
176,(Selwyn Harris/ Pahrump Valley Times),Professional - times,,,,1
177,(Anheuser-Busch via AP),Professional - ap,,,,3
178,(Stella Artois via AP),Professional - ap,,,,2
179,(Amazon via AP),Professional - ap,,,,2
180,(Microsoft via AP),Professional - ap,,,,2
181,(Google via AP),Professional - ap,,,,1
182,(Dayna Roselli),                              ,,,,4
183,(Joe Burbank/Orlando Sentinel via AP),Professional - ap,,,,1
184,(North Las Vegas Police Department),Professional - police,,,,2
185,(Photo by Denise Truscello/Getty Images for Park MGM),Professional - mgm,,,,3
186,(Wynn Nightlife),                              ,,,,1
187,(Kevin Wong Photography),                              ,,,,1
188,(AP Photo/Morry Gash),Professional - ap,,,,3
189,(AP Photo/John Bazemore),Professional - ap,,,,13
190,(AP Photo/Patrick Semansky),Professional - ap,,,,5
191,(AP Photo/David J. Phillip),Professional - ap,,,,20
192,(Nye County Sheriff’s Office),Professional - sherif,,,,2
193,(Matt Kennedy/Marvel Studios-Disney via AP),Professional - ap,,,,1
194,(AP Photo/Jeff Roberson),Professional - ap,,,,9
195,(Department of Energy),Professional - department,,,,1
196,(AP Photo/Charlie Riedel),Professional - ap,,,,5
197,(AP Photo/Lynne Sladky),Professional - ap,,,,2
198,(AP Photo/Chuck Burton),Professional - ap,,,,1
199,(@LadyGagaVegas),                              ,,,,1
200,(@RitaOra),                              ,,,,1
201,"(Vianney Le Caer/Invision/AP, file)",Professional - file,,,,1
202,(Michael DeMocker/The Times-Picayune via AP),Professional - ap,,,,8
203,(Howard Hughes Corporation),                              ,,,,1
204,(AP),Professional - ap,,,,1
205,(Nye County Sheriffճ Office),Professional - sherif,,,,1
206,(MANICA Architecture),Professional - architect,,,,2
207,(Henderson Police Department),Professional - police,,,,4
208,(Matt Sayles/AP file),Professional - file,,,,1
209,(courtesy),Citizen - family,,,,2
210,(AP Photo/Alex Gallardo),Professional - ap,,,,3
211,(Clint Langford via AP),Professional - ap,,,,1
212,(vegasgoldenknights.com),Professional - co.,,,,1
213,(Ivan Sher Group),Professional - group,,,,9
214,(AP Photo/David Goldman),Professional - ap,,,,7
215,(AP Photo/Matt Rourke),Professional - ap,,,,10
216,(Las Vegas Stadium Authority),                              ,,,,2
217,(Goodie Two Shoes Foundation),Professional - foundation,,,,2
218,Nikki Berti,                              ,,,,1
219,Tony Berti,                              ,,,,1
220,(Jessica Kourkounis/Universal Pictures via AP),Professional - ap,,,,1
221,(Gregory Smith/Sony Pictures via AP),Professional - sony,,,,1
222,"(Photo by Amy Harris/Invision/AP, File)",Professional - file,,,,1
223,(Photo by Nicholas Hunt/Getty Images Twentieth Century Fox Home Entertainment),Professional - fox,,,,5
224,(National Park Service via AP),Professional - ap,,,,4
225,(Kristy Deetz),                              ,,,,3
226,(Las Vegas Cultural Affairs),                              ,,,,1
227,(AP Photo/Pablo Martinez Monsivais),Professional - ap,,,,1
228,(AP Photo/Gerald Herbert),Professional - ap,,,,2
229,(AP Photo/Jacquelyn Martin),Professional - ap,,,,1
230,(AP Photo/Gillian Flaccus),Professional - ap,,,,6
231,(AP Photo/Bob Daugherty),Professional - ap,,,,1
