Index,Source,P/C,,,,Count
113,Turner Dairy Farms via Facebook,Citizen - facebook,,,,1
114,pixnio,                              ,,,,2
115,Jonna Miller | Tribune-Review,Professional - tribune,,,,1
116,Pittsburgh Symphony,Professional - pittsburgh,,,,4
117,LOUIS B. RUEDIGER | TRIBUNE-REVIEW,Professional - tribune,,,,7
118,Mary Ann Thomas | Tribune-Review,Professional - tribune,,,,4
119,Schenley Park Skating Rink,                              ,,,,1
120,Bonfire,                              ,,,,3
121,Dave DeSimone | for the Tribune-Review,Professional - tribune,,,,2
122,(AP Photo/ Evan Vucci),Professional - ap,,,,1
123,Jacob Tierney | Tribune-Review,Professional - tribune,,,,3
124,The Associated Press,Professional - press,,,,1
125,Unsplash,Professional - unsplash,,,,1
126,Burger King,                              ,,,,1
127,(AP Photo/Jeff Roberson),Professional - ap,,,,1
128,Mercedes Benz,                              ,,,,3
129,Wikimedia Commons,Professional - media,,,,2
130,Courtesy of WPXI-TV,                              ,,,,1
131,(AP Photo/Alex Gallardo),Professional - ap,,,,5
132,(Clint Langford via AP),Professional - ap,,,,1
133,Facebook | The Westmoreland,Citizen - facebook,,,,1
134,(Eastern Virginia Medical School via AP),Professional - ap,,,,2
135,(Anheuser-Busch via AP),Professional - ap,,,,1
136,"(AP Photo/Manuel Balce Ceneta, File)",Professional - file,,,,1
137,"(AP Photo/Susannah George, File)",Professional - file,,,,1
138,(AP Photo/Charlie Riedel),Professional - ap,,,,2
139,(AP Photo/Matt Rourke),Professional - ap,,,,1
140,(Photo by Al Bello/Getty Images),Professional - getty,,,,1
141,(AP Photo/Mark Humphrey),Professional - ap,,,,1
142,"(AP Photo/Richard Drew, File)",Professional - file,,,,2
143,"(AP Photo/Alex Brandon, File)",Professional - file,,,,2
144,(Stella Artois via AP),Professional - ap,,,,4
145,(Google via AP),Professional - ap,,,,1
146,(Amazon via AP),Professional - ap,,,,2
147,(Microsoft via AP),Professional - ap,,,,1
148,Patrick Varine | Tribune-Review,Professional - tribune,,,,2
149,MARY ANN THOMAS | Tribune-Review,Professional - tribune,,,,1
150,Amy Harris/Invision/AP,Professional - AP,,,,1
151,(Gregory Smith/Sony Pictures via AP),Professional - sony,,,,1
152,(Jessica Kourkounis/Universal Pictures via AP),Professional - ap,,,,1
153,(Kent County Michigan Sheriff’s Office via AP),Professional - ap,,,,1
154,(PepsiCo via AP),Professional - ap,,,,4
155,(Expensify via AP),Professional - ap,,,,1
156,(Hyundai via AP),Professional - ap,,,,1
157,(PepsiCo. via AP),Professional - ap,,,,2
158,(Toyota via AP),Professional - ap,,,,1
159,(M&M’S via AP),Professional - ap,,,,1
160,eatingwell.com,Professional - co.,,,,1
161,Taste of Home,                              ,,,,1
162,Diabetic Living Magazine,Professional - magazine,,,,1
163,Alex Lau,                              ,,,,1
164,Food Network Kitchen,                              ,,,,1
165,Facebook | Youarehere406,Citizen - facebook,,,,1
166,Kim Stepinsky | for the Tribune-Review,Professional - tribune,,,,1
167,Facebook | Feathers-Artist-Market-and-Gifts,Professional - artist,,,,1
168,"(AP Photo/Silvia Izquierdo, File)",Professional - file,,,,1
169,(FOX19Now.com via AP),Professional - ap,,,,1
170,(Phil Didion/The Cincinnati Enquirer via AP),Professional - ap,,,,1
171,"(AP Photo/Andrew Harnik, File)",Professional - file,,,,1
172,"(AP Photo/Tony Dejak, File)",Professional - file,,,,4
173,"(Photo by Scott Roth/Invision/AP, File)",Professional - file,,,,1
174,(Fulton County Sheriff’s Office via AP),Professional - ap,,,,1
175,(AP Photo/David Goldman),Professional - ap,,,,5
176,(Curtis Compton/Atlanta Journal-Constitution via AP),Professional - ap,,,,1
177,(AP Photo/Bryan Woolston),Professional - ap,,,,1
178,(Jes Niejjer/Christopher Stroop via AP),Professional - ap,,,,1
179,(Marc Levy/AP),Professional - ap,,,,1
180,Casey Allen,                              ,,,,6
181,Matt Kennedy/Marvel Studios-Disney via AP,Professional - AP,,,,1
182,WV MetroNews,                              ,,,,1
183,Pixabay,Professional - co.,,,,2
184,"(AP Photo/Nati Harnik, File)",Professional - file,,,,1
185,"(Lauren A. Little/Reading Eagle via AP, File)",Professional - file,,,,1
186,"(Jean Pieri/Pioneer Press via AP, File)",Professional - file,,,,1
