Index,Source,P/C,,,,Count
101,The Courier-Journal-USA TODAY Sp,Professional - usa today,,,,1
102,"By Keith Williams, The Courier-Journal",Professional - journal,,,,1
103,"Photo by Dan Dry, The Courier-Journal",Professional - journal,,,,1
104,"Photo by Keith Williams, The Courier-Journal",Professional - journal,,,,1
105,"By Bill Luster, The Courier-Journal",Professional - journal,,,,1
106,"By Robert Steinau, The Courier-Journal",Professional - journal,,,,1
107,"LUSTER BILL, Copyright 2003 The Courier-Journal;YES COURIER-JOURNAL",Professional - journal,,,,1
108,"(Photo: Craig Golding, AP)",Professional - ap,,,,1
109,Alton Strupp/Louisville Courier Journal,Professional - journal,,,,31
110,(Photo: AP Images),Professional - ap,,,,1
111,(Photo: Bryan Woolston/Special to Courier Journal),Professional - journal,,,,3
112,Bryan Woolston/Special to Courier Journal,Professional - journal,,,,17
113,(Photo: Jessie Kriech-Higdon/Kriech-Higdon Photography),                              ,,,,1
114,(Photo: Provided),Professional - state,,,,1
115,"(Photo: Troy Taormina, USA TODAY Sports)",Professional - usa today,,,,1
116,Scott Utterback/Courier Journal,Professional - journal,,,,94
117,(Photo: Courtesy of Shemwell family),Citizen - family,,,,1
118,(Photo: Lexington Police),Professional - police,,,,1
119,(Photo: Revelry Boutique Gallery),                              ,,,,1
120,(Photo: By Pat McDonogh / The C-J),                              ,,,,1
121,(Photo: Courtesy Gainesway Farm),                              ,,,,1
122,(Photo: Family of Savannah Spurlock),Citizen - family,,,,1
123,No Credit,                              ,,,,1
124,"Nick Wass, AP",Professional - AP,,,,1
125,"Gary A. Vasquez, USA TODAY Sports",Professional - usa today,,,,1
126,"Nikki Boertman, AP",Professional - AP,,,,1
127,"Wen Roberts, NBAE/Getty Images",Professional - getty,,,,1
128,"Rich Pedroncelli, AP",Professional - AP,,,,1
129,Bob Stanton-USA TODAY Sports,Professional - usa today,,,,1
130,"Mark Duncan, AP",Professional - AP,,,,1
131,"Beth A. Keiser, AP",Professional - AP,,,,1
132,"Isaiah J. Downing, USA TODAY Sports",Professional - usa today,,,,1
133,(Photo: David R. Lutman/Special to the Courier Journal),Professional - journal,,,,4
134,David R. Lutman/Special to the Courier Journal,Professional - journal,,,,17
135,(Photo: Scott Utterback/Courier Journal),Professional - journal,,,,4
136,(Photo: The Associated Press),Professional - associated press,,,,5
137,"Shawn Rocco, The News & Observer",Professional - news,,,,1
138,"Gerry Broome, AP",Professional - AP,,,,1
139,"Mark Zerof, US Presswire",Professional - press,,,,1
140,"Brian Spurlock, US Presswire",Professional - press,,,,1
141,"Kim Klement, US Presswire",Professional - press,,,,1
142,"Andy Lyons, Getty Images",Professional - getty,,,,1
143,"Mark Humphrey, AP",Professional - AP,,,,3
144,"Derick E. Hingle, US Presswire",Professional - press,,,,1
145,"Jason DeCrow, AP",Professional - AP,,,,1
146,"Laura Rauch, AP",Professional - AP,,,,1
147,"Andrew Caballero-Reynolds, AFP/Getty Images",Professional - getty,,,,6
148,"Alexa Welch Edlund, Richmond Times-Dispatch via AP",Professional - AP,,,,2
149,"Rogelio V. Solis, AP",Professional - AP,,,,2
150,"Jim Watson, AFP/Getty Images",Professional - getty,,,,2
151,"Alex Wong, Getty Images",Professional - getty,,,,2
152,"Patrick Semansky, AP",Professional - AP,,,,2
153,"Erik S. Lesser, EPA-EFE",                              ,,,,2
154,"Jae C. Hong, AP",Professional - AP,,,,1
155,(Photo: Wethersfield Police Department),Professional - department,,,,3
