Index,Source,P/C,,,,Count
121,[Photos via Hernando County Fire and Rescue],Professional - county,,,,2
122, DOUGLAS R. CLIFFORD,Professional - times,,,,4
123,[Jeffrey S. Solochek | Times],Professional - times,,,,2
124,[Photo from video/YouTube/NFL],Professional - nfl,,,,1
125,[Carl Juste / Miami Herald file],Professional - file,,,,1
126,Jeffrey S. Solochek,Professional - times,,,,4
127,Monique Welch,                              ,,,,2
128,[Photo courtesy of Rays],                              ,,,,4
129,[Tampa Bay Rays],                              ,,,,1
130,[AP Photo/Carolyn Kaster],Professional - ap,,,,1
131,[CARL LISCIANDRELLO | Times],Professional - times,,,,1
132,[Monroe County Sheriff’s Office],Professional - county,,,,2
133,[AP/Florida's Governor's Office],Professional - ap,,,,2
134,[ JAMES BORCHUCK | Times],Professional - times,,,,1
135,[DIRK SHADD | Times ],Professional - times,,,,4
136,[Step Up For Students],                              ,,,,1
137,[NFL Game Pass],Professional - nfl,,,,1
138,[Photo courtesy of Indianapolis Convention & Visitors Association],Professional - association,,,,1
139,[Jason Palmer | Wichita Falls Times Record News / AP],Professional - ap,,,,1
140,[John Raoux | AP],Professional - ap,,,,1
141,[Mark Bialek | Detroit Free Press],Professional - press,,,,1
142,[Shutterstock],Professional - shutterstock,,,,1
143,[Ben Noey Jr. / Fort Worth Star-Telegram / MCT],Professional - star-telegram,,,,1
144,[Scott Keeler | Times],Professional - times,,,,1
145,[Amazon via AP],Professional - ap,,,,2
146,"[Photo by Michael Bottoms, SOCom communications office]",                              ,,,,1
147,EVE EDELHEIT,Professional - news,,,,3
148,[Orange County Fire and Rescue],Professional - county,,,,1
149,[Pinellas County Sheriff's Office],Professional - county,,,,3
150,[Eastern Virginia Medical School via AP],Professional - ap,,,,1
151,[AP Photo/Mark Humphrey],Professional - ap,,,,1
152,Hillsborough County Fire Rescue,Professional - county,,,,1
153,[Epic Records],Professional - record,,,,2
154,[Luis Santana | Times],Professional - times,,,,3
155,[BRANDEN CAMP | Atlanta Journal Constitution],Professional - atlanta,,,,2
156,"[MELISSA LYTTLE | Times, 2011]",Professional - times,,,,2
157,[Washington Post via AP],Professional - ap,,,,1
158,[AP Photo/Gerald Herbert],Professional - ap,,,,1
159,[ MONICA HERNDON | Times ],Professional - times,,,,2
160,[AP Photo/Mike Stewart],Professional - ap,,,,2
161,[AP Photo/Mike Stone],Professional - ap,,,,1
162,[Associated Press photos],Professional - associated press,,,,2
163,[Photo courtesy of USF St. Petersburg],                              ,,,,2
164,[ LUIS SANTANA | Times],Professional - times,,,,1
165,[BETTINA HANSEN | Seattle Times/TNS},Professional - times,,,,1
166,[BRONTE WITTPEN | Times],Professional - times,,,,2
167,[LUIS SANTANA | Times (2018)],Professional - times,,,,1
168,[Photo courtesy of the Greater Tampa Chamber],                              ,,,,1
169,[JAMES BORCHUCK | Times (2016)],Professional - times,,,,2
170,"[Google StreetView, Hillsborough County Sheriff’s Office]",Professional - google street,,,,2
171,[JAMES BORCHUCK | Times],Professional - times,,,,2
172,EDUARDO A. ENCINA,Professional - times,,,,1
173,[AP photos],Professional - ap,,,,1
174,[AP Photo/David J. Phillip],Professional - ap,,,,2
175,[Courtesy of Taronis Technologies],                              ,,,,1
176,[Times files 2013],Professional - times,,,,1
177,"From left, clockwise, builder Finley Cook, engineer Lance Watson, Tom Wood, Peggy Wood, Brandy Wood Jessen, Shawna Wood and architect Bill Bridges meet at the site of the Driftwood Inn to discuss plans to reconstruct the beachfront motel, which was destroyed by Hurricane Michael. DOUGLAS R. CLIFFORD",Professional - inn,,,,1
178,[MONICA HERNDON | Times (2016)],Professional - times,,,,1
179,DAREK SHARP,                              ,,,,1
180,[Katherine Lewin],                              ,,,,2
181,[Tracey Eaton],                              ,,,,2
182,[Pulitzer Center],Professional - center,,,,1
183,[AP Photo/John Minchillo],Professional - ap,,,,1
184,[AP Photo/Chris O'Meara],Professional - ap,,,,1
185,[Stella Artois via AP],Professional - ap,,,,2
186,[Photos courtesy of Florida State Fair],Professional - state,,,,2
187,[Photo courtesy of Florida State Fair],Professional - state,,,,18
188,[Courtesy of Nioti Koulianos],                              ,,,,1
189,[Studio Echelman],Professional - studio,,,,1
190,[Taimy Alvarez | South Florida Sun-Sentinel via AP],Professional - ap,,,,1
191,[Times (2016)],Professional - times,,,,3
192,[Photo courtesy of Shriners Hospitals],Professional - hospital,,,,2
193,[Brad McClenny | Gainesville Sun],                              ,,,,1
194,[Rendering courtesy of the City of St. Petersburg],Professional - city,,,,2
195,[Courtesy of Studio Echelman],Professional - studio,,,,2
196,SARA DINATALE,                              ,,,,2
197,[Photo courtesy of Sandy Mermelstein],                              ,,,,2
198,[AP Photo/Jeff Chiu],Professional - ap,,,,1
199,[Times photo by Luis Santana],Professional - times,,,,2
200,[RICHARD DANIELSON | Times (2018)],Professional - times,,,,2
201,ELIZABETH KOH,                              ,,,,2
202,[AP Photo/Tony Avelar],Professional - ap,,,,1
203,[AMY SCHERZER/Special to the Times],Professional - times,,,,1
204,LIBBY BALDWIN,                              ,,,,1
205,[Photo: Feeding Tampa Bay],                              ,,,,1
206,Carolyn Kaster,Professional - ap,,,,2
207,JUSTIN TROMBLY,                              ,,,,1
208,[KAREN PETERSON | Times],Professional - times,,,,4
209,[Courtesy of Vincent Barone/HDShowings],                              ,,,,2
210,[Courtesy of Denise Wooley],                              ,,,,2
211,[Courtesy of HDShowings],                              ,,,,2
212,[Courtesy of Rhea Jeffrey],                              ,,,,2
213,[Courtesy of Rachel Gallagher],                              ,,,,2
214,Times,Professional - times,,,,1
215,[PATRICK FARRELL | Miami Herald],Professional - miami herald,,,,1
216,[Lauren Bacho | The Gainesville Sun via AP],Professional - ap,,,,2
217,[Courtesy of WeWork],                              ,,,,1
218,JACK EVANS,Professional - times,,,,1
219,[SAMANTHA J. GROSS | Times/Herald],Professional - times,,,,1
220,[Pasco County School District YouTube],Professional - school,,,,1
221,"[AP Photo/Elise Amendola, File]",Professional - file,,,,1
222,"[Jay Nolan, special to the Times)",Professional - times,,,,3
223,[iStockphoto.com],Professional - co.,,,,1
224,[Courtesy of Michelle Stoker Photography via Knack (2018)],                              ,,,,2
225,[Associated Press (2005)],Professional - associated press,,,,2
226,EMILY L. MAHONEY,                              ,,,,9
227, EMILY L. MAHONEY,                              ,,,,2
228,[AP],Professional - ap,,,,1
229,[Megan Harding for School Board 2018 campaign photo],Professional - school,,,,1
230,[Associated Press | 2016],Professional - associated press,,,,1
231,BETH N. GRAY,                              ,,,,2
232,[Pasco County Fire Rescue],Professional - county,,,,1
233,[AP Photo/Phelan Ebenhack],Professional - ap,,,,1
234,[William Glasheen | The Post-Crescent via AP],Professional - ap,,,,1
235,[AP Photo/Steven Senne],Professional - ap,,,,1
236,CHRIS O'MEARA,Professional - ap,,,,1
237,[JOSH FIALLO | Times],Professional - times,,,,1
238,[HOWARD ALTMAN | Times],Professional - times,,,,1
239,[Courtesy of Adam Hattersley],                              ,,,,1
